filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 1619.4894224854763 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 1521.4934056360112 
10.txt 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 1754.6600037143658 
2.txt 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 1123.0715771308853 
3.txt 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 1241.0788429786207 
4.txt 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 1342.912688187911 
5.txt 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 1317.8196272784794 
6.txt 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 1417.8279015675025 
7.txt 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 1413.6073702567724 
8.txt 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 1837.8999876276255 
9.txt 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 1664.6621250066567 
