filename E_MC #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 108000.0 13 10 10 10 10 10 10 10 10 10 
10.txt 108000.0 15 15 15 15 15 15 15 15 15 15 
2.txt 108000.0 13 13 13 13 13 13 13 13 13 13 
3.txt 108000.0 9 9 9 9 9 9 9 9 9 9 
4.txt 108000.0 9 9 9 9 9 9 9 9 9 9 
5.txt 108000.0 17 17 17 17 17 17 17 17 17 17 
6.txt 108000.0 14 14 14 14 14 14 14 14 14 14 
7.txt 108000.0 10 10 10 10 10 10 10 10 10 10 
8.txt 108000.0 11 11 11 11 11 11 11 11 11 11 
9.txt 108000.0 13 13 13 13 13 13 13 13 13 13 
1.txt 216000.0 11 11 11 11 11 11 11 11 11 11 
10.txt 216000.0 2 2 2 2 2 2 2 2 2 2 
2.txt 216000.0 9 9 9 9 9 9 9 9 9 9 
3.txt 216000.0 9 9 9 9 9 9 9 9 9 9 
4.txt 216000.0 7 7 7 7 7 7 7 7 7 7 
5.txt 216000.0 14 14 14 14 14 14 14 14 14 14 
6.txt 216000.0 11 11 11 11 11 11 11 11 11 11 
7.txt 216000.0 11 11 11 11 11 11 11 11 11 11 
8.txt 216000.0 9 9 9 9 9 9 9 9 9 9 
9.txt 216000.0 15 15 15 15 15 15 15 15 15 15 
1.txt 324000.0 5 6 6 6 6 6 6 6 6 6 
10.txt 324000.0 4 4 4 4 4 4 4 4 4 4 
2.txt 324000.0 7 7 7 7 7 7 7 7 7 7 
3.txt 324000.0 4 4 4 4 4 4 4 4 4 4 
4.txt 324000.0 7 7 7 7 7 7 7 7 7 7 
5.txt 324000.0 3 3 3 3 3 3 3 3 3 3 
6.txt 324000.0 2 2 2 2 2 2 2 2 2 2 
7.txt 324000.0 3 3 3 3 3 3 3 3 3 3 
8.txt 324000.0 12 12 12 12 12 12 12 12 12 12 
9.txt 324000.0 6 6 6 6 6 6 6 6 6 6 
1.txt 432000.0 1 3 3 3 3 3 3 3 3 3 
10.txt 432000.0 2 2 2 2 2 2 2 2 2 2 
2.txt 432000.0 2 2 2 2 2 2 2 2 2 2 
3.txt 432000.0 0 0 0 0 0 0 0 0 0 0 
4.txt 432000.0 4 4 4 4 4 4 4 4 4 4 
5.txt 432000.0 3 3 3 3 3 3 3 3 3 3 
6.txt 432000.0 3 3 3 3 3 3 3 3 3 3 
7.txt 432000.0 3 3 3 3 3 3 3 3 3 3 
8.txt 432000.0 4 4 4 4 4 4 4 4 4 4 
9.txt 432000.0 6 6 6 6 6 6 6 6 6 6 
1.txt 540000.0 1 2 2 2 2 2 2 2 2 2 
10.txt 540000.0 2 2 2 2 2 2 2 2 2 2 
2.txt 540000.0 2 2 2 2 2 2 2 2 2 2 
3.txt 540000.0 0 0 0 0 0 0 0 0 0 0 
4.txt 540000.0 2 2 2 2 2 2 2 2 2 2 
5.txt 540000.0 3 3 3 3 3 3 3 3 3 3 
6.txt 540000.0 2 2 2 2 2 2 2 2 2 2 
7.txt 540000.0 3 3 3 3 3 3 3 3 3 3 
8.txt 540000.0 4 4 4 4 4 4 4 4 4 4 
9.txt 540000.0 5 5 5 5 5 5 5 5 5 5 
