filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 100000.0 102837.91780772687 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 106625.43241156194 
10.txt 100000.0 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 113005.97488659713 
2.txt 100000.0 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 106032.28040953862 
3.txt 100000.0 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 141334.25834826796 
4.txt 100000.0 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 154610.11346977507 
5.txt 100000.0 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 151151.50736949127 
6.txt 100000.0 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 105146.05184380406 
7.txt 100000.0 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 135744.86802296515 
8.txt 100000.0 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 104964.98963341812 
9.txt 100000.0 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 210350.8182688163 
1.txt 200000.0 417266.06466226996 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 461101.4687466561 
10.txt 200000.0 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 418338.2327639123 
2.txt 200000.0 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 455404.22697417723 
3.txt 200000.0 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 499071.70409434766 
4.txt 200000.0 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 498729.0673583534 
5.txt 200000.0 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 510685.8287488969 
6.txt 200000.0 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 435124.68021158455 
7.txt 200000.0 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 432112.9466557598 
8.txt 200000.0 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 417762.43692204717 
9.txt 200000.0 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 487508.8469207746 
1.txt 300000.0 638853.1709410799 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 658509.8908884192 
10.txt 300000.0 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 652319.0847768764 
2.txt 300000.0 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 712351.79408934 
