filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 422341.1141705555 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 477372.21338097955 
10.txt 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 424093.32353330875 
2.txt 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 412092.3691545638 
3.txt 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 418821.7676320167 
4.txt 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 517301.7159710813 
5.txt 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 424676.08973658946 
6.txt 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 373798.9668451771 
7.txt 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 415220.55655082414 
8.txt 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 422700.8760818061 
9.txt 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 387112.589023341 
