filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 1.3333333333333333 6 7 7 7 7 7 7 7 7 7 
10.txt 1.3333333333333333 10 10 10 10 10 10 10 10 10 10 
2.txt 1.3333333333333333 11 11 11 11 11 11 11 11 11 11 
3.txt 1.3333333333333333 13 13 13 13 13 13 13 13 13 13 
4.txt 1.3333333333333333 16 16 16 16 16 16 16 16 16 16 
5.txt 1.3333333333333333 13 13 13 13 13 13 13 13 13 13 
6.txt 1.3333333333333333 9 9 9 9 9 9 9 9 9 9 
7.txt 1.3333333333333333 9 9 9 9 9 9 9 9 9 9 
8.txt 1.3333333333333333 10 10 10 10 10 10 10 10 10 10 
9.txt 1.3333333333333333 15 15 15 15 15 15 15 15 15 15 
1.txt 2.6666666666666665 6 7 7 7 7 7 7 7 7 7 
10.txt 2.6666666666666665 7 7 7 7 7 7 7 7 7 7 
2.txt 2.6666666666666665 5 5 5 5 5 5 5 5 5 5 
3.txt 2.6666666666666665 7 7 7 7 7 7 7 7 7 7 
4.txt 2.6666666666666665 6 6 6 6 6 6 6 6 6 6 
5.txt 2.6666666666666665 9 9 9 9 9 9 9 9 9 9 
6.txt 2.6666666666666665 4 4 4 4 4 4 4 4 4 4 
7.txt 2.6666666666666665 9 9 9 9 9 9 9 9 9 9 
8.txt 2.6666666666666665 6 6 6 6 6 6 6 6 6 6 
9.txt 2.6666666666666665 13 13 13 13 13 13 13 13 13 13 
1.txt 4.0 6 5 5 5 5 5 5 5 5 5 
10.txt 4.0 8 8 8 8 8 8 8 8 8 8 
2.txt 4.0 8 8 8 8 8 8 8 8 8 8 
3.txt 4.0 9 9 9 9 9 9 9 9 9 9 
4.txt 4.0 4 4 4 4 4 4 4 4 4 4 
5.txt 4.0 8 8 8 8 8 8 8 8 8 8 
6.txt 4.0 8 8 8 8 8 8 8 8 8 8 
7.txt 4.0 5 5 5 5 5 5 5 5 5 5 
8.txt 4.0 4 4 4 4 4 4 4 4 4 4 
9.txt 4.0 9 9 9 9 9 9 9 9 9 9 
1.txt 5.333333333333333 4 5 5 5 5 5 5 5 5 5 
10.txt 5.333333333333333 5 5 5 5 5 5 5 5 5 5 
2.txt 5.333333333333333 7 7 7 7 7 7 7 7 7 7 
3.txt 5.333333333333333 10 10 10 10 10 10 10 10 10 10 
4.txt 5.333333333333333 6 6 6 6 6 6 6 6 6 6 
5.txt 5.333333333333333 6 6 6 6 6 6 6 6 6 6 
6.txt 5.333333333333333 7 7 7 7 7 7 7 7 7 7 
7.txt 5.333333333333333 4 4 4 4 4 4 4 4 4 4 
8.txt 5.333333333333333 5 5 5 5 5 5 5 5 5 5 
9.txt 5.333333333333333 10 10 10 10 10 10 10 10 10 10 
1.txt 6.666666666666667 2 2 2 2 2 2 2 2 2 2 
10.txt 6.666666666666667 4 4 4 4 4 4 4 4 4 4 
2.txt 6.666666666666667 2 2 2 2 2 2 2 2 2 2 
3.txt 6.666666666666667 10 10 10 10 10 10 10 10 10 10 
4.txt 6.666666666666667 6 6 6 6 6 6 6 6 6 6 
5.txt 6.666666666666667 5 5 5 5 5 5 5 5 5 5 
6.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
7.txt 6.666666666666667 4 4 4 4 4 4 4 4 4 4 
8.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
9.txt 6.666666666666667 9 9 9 9 9 9 9 9 9 9 
