filename T #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
10.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
2.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
3.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
4.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
5.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
6.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
7.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
8.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
9.txt 100000.0 0 0 0 0 0 0 0 0 0 0 
1.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
10.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
2.txt 200000.0 3 3 3 3 3 3 3 3 3 3 
3.txt 200000.0 4 4 4 4 4 4 4 4 4 4 
4.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
5.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
6.txt 200000.0 4 4 4 4 4 4 4 4 4 4 
7.txt 200000.0 2 2 2 2 2 2 2 2 2 2 
8.txt 200000.0 5 5 5 5 5 5 5 5 5 5 
9.txt 200000.0 9 9 9 9 9 9 9 9 9 9 
1.txt 300000.0 7 7 7 7 7 7 7 7 7 7 
10.txt 300000.0 12 12 12 12 12 12 12 12 12 12 
2.txt 300000.0 10 10 10 10 10 10 10 10 10 10 
3.txt 300000.0 10 10 10 10 10 10 10 10 10 10 
4.txt 300000.0 12 12 12 12 12 12 12 12 12 12 
5.txt 300000.0 5 5 5 5 5 5 5 5 5 5 
6.txt 300000.0 10 10 10 10 10 10 10 10 10 10 
7.txt 300000.0 7 7 7 7 7 7 7 7 7 7 
8.txt 300000.0 5 5 5 5 5 5 5 5 5 5 
9.txt 300000.0 51 51 51 51 51 51 51 51 51 51 
1.txt 400000.0 44 9 9 9 9 9 9 9 9 9 
10.txt 400000.0 12 12 12 12 12 12 12 12 12 12 
2.txt 400000.0 39 39 39 39 39 39 39 39 39 39 
3.txt 400000.0 38 38 38 38 38 38 38 38 38 38 
4.txt 400000.0 14 14 14 14 14 14 14 14 14 14 
5.txt 400000.0 18 18 18 18 18 18 18 18 18 18 
6.txt 400000.0 12 12 12 12 12 12 12 12 12 12 
7.txt 400000.0 13 13 13 13 13 13 13 13 13 13 
8.txt 400000.0 25 25 25 25 25 25 25 25 25 25 
9.txt 400000.0 57 57 57 57 57 57 57 57 57 57 
1.txt 500000.0 91 16 16 16 16 16 16 16 16 16 
10.txt 500000.0 15 15 15 15 15 15 15 15 15 15 
2.txt 500000.0 41 41 41 41 41 41 41 41 41 41 
3.txt 500000.0 86 86 86 86 86 86 86 86 86 86 
4.txt 500000.0 15 15 15 15 15 15 15 15 15 15 
5.txt 500000.0 19 19 19 19 19 19 19 19 19 19 
6.txt 500000.0 15 15 15 15 15 15 15 15 15 15 
7.txt 500000.0 62 62 62 62 62 62 62 62 62 62 
8.txt 500000.0 44 44 44 44 44 44 44 44 44 44 
9.txt 500000.0 92 92 92 92 92 92 92 92 92 92 
