filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 0.5 0 0 0 0 0 0 0 0 0 0 
10.txt 0.5 0 0 0 0 0 0 0 0 0 0 
2.txt 0.5 0 0 0 0 0 0 0 0 0 0 
3.txt 0.5 0 0 0 0 0 0 0 0 0 0 
4.txt 0.5 0 0 0 0 0 0 0 0 0 0 
5.txt 0.5 0 0 0 0 0 0 0 0 0 0 
6.txt 0.5 0 0 0 0 0 0 0 0 0 0 
7.txt 0.5 0 0 0 0 0 0 0 0 0 0 
8.txt 0.5 0 0 0 0 0 0 0 0 0 0 
9.txt 0.5 0 0 0 0 0 0 0 0 0 0 
1.txt 1.0 13 10 10 10 10 10 10 10 10 10 
10.txt 1.0 15 15 15 15 15 15 15 15 15 15 
2.txt 1.0 13 13 13 13 13 13 13 13 13 13 
3.txt 1.0 9 9 9 9 9 9 9 9 9 9 
4.txt 1.0 9 9 9 9 9 9 9 9 9 9 
5.txt 1.0 17 17 17 17 17 17 17 17 17 17 
6.txt 1.0 14 14 14 14 14 14 14 14 14 14 
7.txt 1.0 10 10 10 10 10 10 10 10 10 10 
8.txt 1.0 11 11 11 11 11 11 11 11 11 11 
9.txt 1.0 13 13 13 13 13 13 13 13 13 13 
1.txt 1.5 26 24 24 24 24 24 24 24 24 24 
10.txt 1.5 27 27 27 27 27 27 27 27 27 27 
2.txt 1.5 26 26 26 26 26 26 26 26 26 26 
3.txt 1.5 22 22 22 22 22 22 22 22 22 22 
4.txt 1.5 28 28 28 28 28 28 28 28 28 28 
5.txt 1.5 23 23 23 23 23 23 23 23 23 23 
6.txt 1.5 25 25 25 25 25 25 25 25 25 25 
7.txt 1.5 26 26 26 26 26 26 26 26 26 26 
8.txt 1.5 26 26 26 26 26 26 26 26 26 26 
9.txt 1.5 24 24 24 24 24 24 24 24 24 24 
1.txt 2.0 40 44 44 44 44 44 44 44 44 44 
10.txt 2.0 45 45 45 45 45 45 45 45 45 45 
2.txt 2.0 50 50 50 50 50 50 50 50 50 50 
3.txt 2.0 36 36 36 36 36 36 36 36 36 36 
4.txt 2.0 46 46 46 46 46 46 46 46 46 46 
5.txt 2.0 44 44 44 44 44 44 44 44 44 44 
6.txt 2.0 43 43 43 43 43 43 43 43 43 43 
7.txt 2.0 45 45 45 45 45 45 45 45 45 45 
8.txt 2.0 44 44 44 44 44 44 44 44 44 44 
9.txt 2.0 38 38 38 38 38 38 38 38 38 38 
1.txt 2.5 67 68 68 68 68 68 68 68 68 68 
10.txt 2.5 61 61 61 61 61 61 61 61 61 61 
2.txt 2.5 64 64 64 64 64 64 64 64 64 64 
3.txt 2.5 70 70 70 70 70 70 70 70 70 70 
4.txt 2.5 65 65 65 65 65 65 65 65 65 65 
5.txt 2.5 59 59 59 59 59 59 59 59 59 59 
6.txt 2.5 68 68 68 68 68 68 68 68 68 68 
7.txt 2.5 64 64 64 64 64 64 64 64 64 64 
8.txt 2.5 57 57 57 57 57 57 57 57 57 57 
9.txt 2.5 56 56 56 56 56 56 56 56 56 56 
