filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 0.5 0 0 0 0 0 0 0 0 0 0 
10.txt 0.5 0 0 0 0 0 0 0 0 0 0 
2.txt 0.5 0 0 0 0 0 0 0 0 0 0 
3.txt 0.5 0 0 0 0 0 0 0 0 0 0 
4.txt 0.5 0 0 0 0 0 0 0 0 0 0 
5.txt 0.5 0 0 0 0 0 0 0 0 0 0 
6.txt 0.5 0 0 0 0 0 0 0 0 0 0 
7.txt 0.5 0 0 0 0 0 0 0 0 0 0 
8.txt 0.5 0 0 0 0 0 0 0 0 0 0 
9.txt 0.5 0 0 0 0 0 0 0 0 0 0 
1.txt 1.0 3 4 4 4 4 4 4 4 4 4 
10.txt 1.0 10 10 10 10 10 10 10 10 10 10 
2.txt 1.0 4 4 4 4 4 4 4 4 4 4 
3.txt 1.0 5 5 5 5 5 5 5 5 5 5 
4.txt 1.0 9 9 9 9 9 9 9 9 9 9 
5.txt 1.0 10 10 10 10 10 10 10 10 10 10 
6.txt 1.0 11 11 11 11 11 11 11 11 11 11 
7.txt 1.0 14 14 14 14 14 14 14 14 14 14 
8.txt 1.0 9 9 9 9 9 9 9 9 9 9 
9.txt 1.0 9 9 9 9 9 9 9 9 9 9 
1.txt 1.5 17 18 18 18 18 18 18 18 18 18 
10.txt 1.5 18 18 18 18 18 18 18 18 18 18 
2.txt 1.5 19 19 19 19 19 19 19 19 19 19 
3.txt 1.5 21 21 21 21 21 21 21 21 21 21 
4.txt 1.5 19 19 19 19 19 19 19 19 19 19 
5.txt 1.5 19 19 19 19 19 19 19 19 19 19 
6.txt 1.5 17 17 17 17 17 17 17 17 17 17 
7.txt 1.5 24 24 24 24 24 24 24 24 24 24 
8.txt 1.5 16 16 16 16 16 16 16 16 16 16 
9.txt 1.5 18 18 18 18 18 18 18 18 18 18 
1.txt 2.0 44 39 39 39 39 39 39 39 39 39 
10.txt 2.0 29 29 29 29 29 29 29 29 29 29 
2.txt 2.0 34 34 34 34 34 34 34 34 34 34 
3.txt 2.0 33 33 33 33 33 33 33 33 33 33 
4.txt 2.0 35 35 35 35 35 35 35 35 35 35 
5.txt 2.0 38 38 38 38 38 38 38 38 38 38 
6.txt 2.0 34 34 34 34 34 34 34 34 34 34 
7.txt 2.0 42 42 42 42 42 42 42 42 42 42 
8.txt 2.0 39 39 39 39 39 39 39 39 39 39 
9.txt 2.0 29 29 29 29 29 29 29 29 29 29 
1.txt 2.5 67 64 64 64 64 64 64 64 64 64 
10.txt 2.5 48 48 48 48 48 48 48 48 48 48 
2.txt 2.5 61 61 61 61 61 61 61 61 61 61 
3.txt 2.5 56 56 56 56 56 56 56 56 56 56 
4.txt 2.5 53 53 53 53 53 53 53 53 53 53 
5.txt 2.5 50 50 50 50 50 50 50 50 50 50 
6.txt 2.5 49 49 49 49 49 49 49 49 49 49 
7.txt 2.5 63 63 63 63 63 63 63 63 63 63 
8.txt 2.5 57 57 57 57 57 57 57 57 57 57 
9.txt 2.5 49 49 49 49 49 49 49 49 49 49 
