filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 1.3333333333333333 6 6 6 6 6 6 6 6 6 6 
10.txt 1.3333333333333333 7 7 7 7 7 7 7 7 7 7 
2.txt 1.3333333333333333 8 8 8 8 8 8 8 8 8 8 
3.txt 1.3333333333333333 5 5 5 5 5 5 5 5 5 5 
4.txt 1.3333333333333333 8 8 8 8 8 8 8 8 8 8 
5.txt 1.3333333333333333 6 6 6 6 6 6 6 6 6 6 
6.txt 1.3333333333333333 6 6 6 6 6 6 6 6 6 6 
7.txt 1.3333333333333333 6 6 6 6 6 6 6 6 6 6 
8.txt 1.3333333333333333 6 6 6 6 6 6 6 6 6 6 
9.txt 1.3333333333333333 9 9 9 9 9 9 9 9 9 9 
1.txt 2.6666666666666665 6 6 6 6 6 6 6 6 6 6 
10.txt 2.6666666666666665 7 7 7 7 7 7 7 7 7 7 
2.txt 2.6666666666666665 2 2 2 2 2 2 2 2 2 2 
3.txt 2.6666666666666665 5 5 5 5 5 5 5 5 5 5 
4.txt 2.6666666666666665 7 7 7 7 7 7 7 7 7 7 
5.txt 2.6666666666666665 6 6 6 6 6 6 6 6 6 6 
6.txt 2.6666666666666665 4 4 4 4 4 4 4 4 4 4 
7.txt 2.6666666666666665 4 4 4 4 4 4 4 4 4 4 
8.txt 2.6666666666666665 5 5 5 5 5 5 5 5 5 5 
9.txt 2.6666666666666665 10 10 10 10 10 10 10 10 10 10 
1.txt 4.0 5 5 5 5 5 5 5 5 5 5 
10.txt 4.0 5 5 5 5 5 5 5 5 5 5 
2.txt 4.0 3 3 3 3 3 3 3 3 3 3 
3.txt 4.0 4 4 4 4 4 4 4 4 4 4 
4.txt 4.0 5 5 5 5 5 5 5 5 5 5 
5.txt 4.0 5 5 5 5 5 5 5 5 5 5 
6.txt 4.0 4 4 4 4 4 4 4 4 4 4 
7.txt 4.0 2 2 2 2 2 2 2 2 2 2 
8.txt 4.0 5 5 5 5 5 5 5 5 5 5 
9.txt 4.0 9 9 9 9 9 9 9 9 9 9 
1.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
10.txt 5.333333333333333 5 5 5 5 5 5 5 5 5 5 
2.txt 5.333333333333333 2 2 2 2 2 2 2 2 2 2 
3.txt 5.333333333333333 2 2 2 2 2 2 2 2 2 2 
4.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
5.txt 5.333333333333333 4 4 4 4 4 4 4 4 4 4 
6.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
7.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
8.txt 5.333333333333333 3 3 3 3 3 3 3 3 3 3 
9.txt 5.333333333333333 7 7 7 7 7 7 7 7 7 7 
1.txt 6.666666666666667 2 3 3 3 3 3 3 3 3 3 
10.txt 6.666666666666667 2 2 2 2 2 2 2 2 2 2 
2.txt 6.666666666666667 1 1 1 1 1 1 1 1 1 1 
3.txt 6.666666666666667 2 2 2 2 2 2 2 2 2 2 
4.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
5.txt 6.666666666666667 4 4 4 4 4 4 4 4 4 4 
6.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
7.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
8.txt 6.666666666666667 3 3 3 3 3 3 3 3 3 3 
9.txt 6.666666666666667 7 7 7 7 7 7 7 7 7 7 
