filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 417460.32271418796 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 412291.23490041186 
10.txt 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 434922.15688306297 
2.txt 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 320103.2191734775 
3.txt 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 332269.30846682587 
4.txt 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 334536.3433991005 
5.txt 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 379849.561317039 
6.txt 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 354814.02290540683 
7.txt 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 387496.3513954354 
8.txt 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 429191.0929551872 
9.txt 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 420129.186662055 
