filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 314694.3901281723 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 315238.57942937844 
10.txt 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 340470.94169895136 
2.txt 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 341720.0170362605 
3.txt 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 317005.1891994619 
4.txt 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 380162.61097692826 
5.txt 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 394232.74338059884 
6.txt 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 356895.1618516066 
7.txt 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 349603.8234482581 
8.txt 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 415673.1553225357 
9.txt 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 323570.95251562924 
