filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 0.5 0 0 0 0 0 0 0 0 0 0 
10.txt 0.5 0 0 0 0 0 0 0 0 0 0 
2.txt 0.5 0 0 0 0 0 0 0 0 0 0 
3.txt 0.5 0 0 0 0 0 0 0 0 0 0 
4.txt 0.5 2 2 2 2 2 2 2 2 2 2 
5.txt 0.5 1 1 1 1 1 1 1 1 1 1 
6.txt 0.5 0 0 0 0 0 0 0 0 0 0 
7.txt 0.5 1 1 1 1 1 1 1 1 1 1 
8.txt 0.5 0 0 0 0 0 0 0 0 0 0 
9.txt 0.5 1 1 1 1 1 1 1 1 1 1 
1.txt 1.0 16 13 13 13 13 13 13 13 13 13 
10.txt 1.0 13 13 13 13 13 13 13 13 13 13 
2.txt 1.0 14 14 14 14 14 14 14 14 14 14 
3.txt 1.0 14 14 14 14 14 14 14 14 14 14 
4.txt 1.0 11 11 11 11 11 11 11 11 11 11 
5.txt 1.0 12 12 12 12 12 12 12 12 12 12 
6.txt 1.0 13 13 13 13 13 13 13 13 13 13 
7.txt 1.0 12 12 12 12 12 12 12 12 12 12 
8.txt 1.0 16 16 16 16 16 16 16 16 16 16 
9.txt 1.0 9 9 9 9 9 9 9 9 9 9 
1.txt 1.5 28 30 30 30 30 30 30 30 30 30 
10.txt 1.5 23 23 23 23 23 23 23 23 23 23 
2.txt 1.5 25 25 25 25 25 25 25 25 25 25 
3.txt 1.5 27 27 27 27 27 27 27 27 27 27 
4.txt 1.5 31 31 31 31 31 31 31 31 31 31 
5.txt 1.5 30 30 30 30 30 30 30 30 30 30 
6.txt 1.5 35 35 35 35 35 35 35 35 35 35 
7.txt 1.5 26 26 26 26 26 26 26 26 26 26 
8.txt 1.5 29 29 29 29 29 29 29 29 29 29 
9.txt 1.5 27 27 27 27 27 27 27 27 27 27 
1.txt 2.0 38 51 51 51 51 51 51 51 51 51 
10.txt 2.0 51 51 51 51 51 51 51 51 51 51 
2.txt 2.0 51 51 51 51 51 51 51 51 51 51 
3.txt 2.0 49 49 49 49 49 49 49 49 49 49 
4.txt 2.0 54 54 54 54 54 54 54 54 54 54 
5.txt 2.0 62 62 62 62 62 62 62 62 62 62 
6.txt 2.0 50 50 50 50 50 50 50 50 50 50 
7.txt 2.0 47 47 47 47 47 47 47 47 47 47 
8.txt 2.0 53 53 53 53 53 53 53 53 53 53 
9.txt 2.0 46 46 46 46 46 46 46 46 46 46 
1.txt 2.5 80 84 84 84 84 84 84 84 84 84 
10.txt 2.5 81 81 81 81 81 81 81 81 81 81 
2.txt 2.5 82 82 82 82 82 82 82 82 82 82 
3.txt 2.5 87 87 87 87 87 87 87 87 87 87 
4.txt 2.5 85 85 85 85 85 85 85 85 85 85 
5.txt 2.5 83 83 83 83 83 83 83 83 83 83 
6.txt 2.5 86 86 86 86 86 86 86 86 86 86 
7.txt 2.5 81 81 81 81 81 81 81 81 81 81 
8.txt 2.5 83 83 83 83 83 83 83 83 83 83 
9.txt 2.5 84 84 84 84 84 84 84 84 84 84 
