filename #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 16 13 13 13 13 13 13 13 13 13 
10.txt 13 13 13 13 13 13 13 13 13 13 
2.txt 14 14 14 14 14 14 14 14 14 14 
3.txt 14 14 14 14 14 14 14 14 14 14 
4.txt 11 11 11 11 11 11 11 11 11 11 
5.txt 12 12 12 12 12 12 12 12 12 12 
6.txt 13 13 13 13 13 13 13 13 13 13 
7.txt 12 12 12 12 12 12 12 12 12 12 
8.txt 16 16 16 16 16 16 16 16 16 16 
9.txt 9 9 9 9 9 9 9 9 9 9 
