filename U #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
10.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
2.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
3.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
4.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
5.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
6.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
7.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
8.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
9.txt 1.3333333333333333 0 0 0 0 0 0 0 0 0 0 
1.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
10.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
2.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
3.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
4.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
5.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
6.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
7.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
8.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
9.txt 2.6666666666666665 0 0 0 0 0 0 0 0 0 0 
1.txt 4.0 0 0 0 0 0 0 0 0 0 0 
10.txt 4.0 0 0 0 0 0 0 0 0 0 0 
2.txt 4.0 0 0 0 0 0 0 0 0 0 0 
3.txt 4.0 0 0 0 0 0 0 0 0 0 0 
4.txt 4.0 0 0 0 0 0 0 0 0 0 0 
5.txt 4.0 0 0 0 0 0 0 0 0 0 0 
6.txt 4.0 0 0 0 0 0 0 0 0 0 0 
7.txt 4.0 0 0 0 0 0 0 0 0 0 0 
8.txt 4.0 0 0 0 0 0 0 0 0 0 0 
9.txt 4.0 0 0 0 0 0 0 0 0 0 0 
1.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
10.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
2.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
3.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
4.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
5.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
6.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
7.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
8.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
9.txt 5.333333333333333 0 0 0 0 0 0 0 0 0 0 
1.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
10.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
2.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
3.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
4.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
5.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
6.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
7.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
8.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
9.txt 6.666666666666667 0 0 0 0 0 0 0 0 0 0 
