filename xP #1 #2 #3 #4 #5 #6 #7 #8 #9 #10
1.txt 0.5 0 0 0 0 0 0 0 0 0 0 
10.txt 0.5 0 0 0 0 0 0 0 0 0 0 
2.txt 0.5 0 0 0 0 0 0 0 0 0 0 
3.txt 0.5 0 0 0 0 0 0 0 0 0 0 
4.txt 0.5 0 0 0 0 0 0 0 0 0 0 
5.txt 0.5 0 0 0 0 0 0 0 0 0 0 
6.txt 0.5 0 0 0 0 0 0 0 0 0 0 
7.txt 0.5 0 0 0 0 0 0 0 0 0 0 
8.txt 0.5 0 0 0 0 0 0 0 0 0 0 
9.txt 0.5 0 0 0 0 0 0 0 0 0 0 
1.txt 1.0 0 0 0 0 0 0 0 0 0 0 
10.txt 1.0 0 0 0 0 0 0 0 0 0 0 
2.txt 1.0 0 0 0 0 0 0 0 0 0 0 
3.txt 1.0 0 0 0 0 0 0 0 0 0 0 
4.txt 1.0 0 0 0 0 0 0 0 0 0 0 
5.txt 1.0 0 0 0 0 0 0 0 0 0 0 
6.txt 1.0 0 0 0 0 0 0 0 0 0 0 
7.txt 1.0 0 0 0 0 0 0 0 0 0 0 
8.txt 1.0 0 0 0 0 0 0 0 0 0 0 
9.txt 1.0 0 0 0 0 0 0 0 0 0 0 
1.txt 1.5 0 0 0 0 0 0 0 0 0 0 
10.txt 1.5 0 0 0 0 0 0 0 0 0 0 
2.txt 1.5 0 0 0 0 0 0 0 0 0 0 
3.txt 1.5 0 0 0 0 0 0 0 0 0 0 
4.txt 1.5 0 0 0 0 0 0 0 0 0 0 
5.txt 1.5 0 0 0 0 0 0 0 0 0 0 
6.txt 1.5 0 0 0 0 0 0 0 0 0 0 
7.txt 1.5 0 0 0 0 0 0 0 0 0 0 
8.txt 1.5 0 0 0 0 0 0 0 0 0 0 
9.txt 1.5 0 0 0 0 0 0 0 0 0 0 
1.txt 2.0 0 0 0 0 0 0 0 0 0 0 
10.txt 2.0 0 0 0 0 0 0 0 0 0 0 
2.txt 2.0 0 0 0 0 0 0 0 0 0 0 
3.txt 2.0 0 0 0 0 0 0 0 0 0 0 
4.txt 2.0 0 0 0 0 0 0 0 0 0 0 
5.txt 2.0 0 0 0 0 0 0 0 0 0 0 
6.txt 2.0 0 0 0 0 0 0 0 0 0 0 
7.txt 2.0 0 0 0 0 0 0 0 0 0 0 
8.txt 2.0 0 0 0 0 0 0 0 0 0 0 
9.txt 2.0 0 0 0 0 0 0 0 0 0 0 
1.txt 2.5 0 0 0 0 0 0 0 0 0 0 
10.txt 2.5 0 0 0 0 0 0 0 0 0 0 
2.txt 2.5 0 0 0 0 0 0 0 0 0 0 
3.txt 2.5 0 0 0 0 0 0 0 0 0 0 
4.txt 2.5 0 0 0 0 0 0 0 0 0 0 
5.txt 2.5 0 0 0 0 0 0 0 0 0 0 
6.txt 2.5 0 0 0 0 0 0 0 0 0 0 
7.txt 2.5 0 0 0 0 0 0 0 0 0 0 
8.txt 2.5 0 0 0 0 0 0 0 0 0 0 
9.txt 2.5 0 0 0 0 0 0 0 0 0 0 
